"FREQ";"r xyce/I(PR2)";"i xyce/I(PR2)"
-1.5e+11;1.15025e-20;2.08408e-20
-1e+11;-2.25814e-21;1.06207e-20
-5e+10;-2.27842e-20;0.00025
0;-1.16906e-14;0
5e+10;-2.27842e-20;-0.00025
1e+11;-2.25814e-21;-1.06207e-20
1.5e+11;1.15025e-20;-2.08408e-20
-1.5e+11;1.53986e-20;4.06308e-20
-1e+11;-1.64356e-20;6.37884e-21
-5e+10;-2.24626e-20;0.000295918
0;3.27166e-20;0
5e+10;-2.24626e-20;-0.000295918
1e+11;-1.64356e-20;-6.37884e-21
1.5e+11;1.53986e-20;-4.06308e-20
-1.5e+11;1.44321e-21;6.83077e-20
-1e+11;1.14959e-20;7.65756e-21
-5e+10;-2.96236e-20;0.000341837
0;5.67443e-20;0
5e+10;-2.96236e-20;-0.000341837
1e+11;1.14959e-20;-7.65756e-21
1.5e+11;1.44321e-21;-6.83077e-20
-1.5e+11;2.06381e-20;7.65426e-20
-1e+11;6.88665e-21;2.62233e-20
-5e+10;-4.79505e-20;0.000387755
0;-4.25341e-19;0
5e+10;-4.79505e-20;-0.000387755
1e+11;6.88665e-21;-2.62233e-20
1.5e+11;2.06381e-20;-7.65426e-20
-1.5e+11;1.4298e-20;3.6028e-20
-1e+11;3.61886e-22;6.81394e-20
-5e+10;-3.21289e-20;0.000433673
0;7.46714e-20;0
5e+10;-3.21289e-20;-0.000433673
1e+11;3.61886e-22;-6.81394e-20
1.5e+11;1.4298e-20;-3.6028e-20
-1.5e+11;2.7344e-20;3.48663e-20
-1e+11;-9.61404e-21;5.71608e-20
-5e+10;-3.96989e-20;0.000479592
0;-1.14078e-18;0
5e+10;-3.96989e-20;-0.000479592
1e+11;-9.61404e-21;-5.71608e-20
1.5e+11;2.7344e-20;-3.48663e-20
-1.5e+11;2.74076e-20;4.51308e-20
-1e+11;-2.24646e-20;5.38372e-21
-5e+10;-5.39627e-20;0.00052551
0;-3.56517e-20;0
5e+10;-5.39627e-20;-0.00052551
1e+11;-2.24646e-20;-5.38372e-21
1.5e+11;2.74076e-20;-4.51308e-20
-1.5e+11;2.58944e-20;5.27858e-20
-1e+11;-1.87215e-20;1.20132e-19
-5e+10;-5.34657e-20;0.000571428
